Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2007-09-12,13298.3,13360,13263,13291.7,195300192,0.573696577,0.571253463,0.575554898,0.573264351,0.229364363
2007-09-13,13292.4,13469.3,13292.4,13424.9,209946209,0.573195219,0.580642086,0.578045873,0.584585741,0.250144817
2007-09-14,13421.4,13459.8,13323.8,13442.5,204783885,0.584157103,0.579826057,0.580706301,0.58608166,0.24282027
2007-09-17,13442,13451.5,13362.4,13403.4,169718225,0.585907606,0.579113106,0.583976764,0.582758339,0.19306747
2007-09-18,13403.2,13740,13403.2,13739.4,277629124,0.582610543,0.603894603,0.587433627,0.6113168,0.346176506
2007-09-19,13740.6,13867.5,13739.9,13815.5,276593881,0.611281393,0.614846565,0.615961215,0.617784951,0.344707655
2007-09-20,13813.5,13822.1,13741,13766.7,200884909,0.617476132,0.610946808,0.616054415,0.613637175,0.237288221
2007-09-21,13768.3,13877.2,13768.2,13820.2,419389397,0.613635224,0.615679773,0.61835899,0.61818443,0.547312618
2007-09-24,13821.6,13874.4,13750.9,13759,236688076,0.618164437,0.61543926,0.616893213,0.61298271,0.28808743
2007-09-25,13757.8,13787.2,13696.3,13778.7,213042949,0.612742978,0.607948977,0.612267117,0.61465712,0.254538617
2007-09-26,13779.3,13915.8,13779.3,13878.2,206563674,0.614569958,0.618995426,0.61929946,0.623114164,0.245345518
2007-09-27,13879.5,13920.4,13868.2,13912.9,156924010,0.623084538,0.619390556,0.626831692,0.626063505,0.174914439
2007-09-28,13912.9,13924.8,13850.3,13895.6,203029921,0.625922731,0.619768506,0.625315079,0.624593084,0.240331664
2007-10-01,13895.7,14115.5,13893.5,14087.5,205715571,0.624461147,0.636149204,0.628975286,0.640903705,0.24414219
2007-10-02,14087.1,14107.5,14012.1,14047.3,169271994,0.640725524,0.635462022,0.639023911,0.637486889,0.192434337
2007-10-03,14038.9,14038.9,13947.7,13968,178924269,0.636629688,0.629569438,0.633567491,0.630746753,0.206129437
2007-10-04,13967.9,14010.4,13951.6,13974.3,143300921,0.630596403,0.627121352,0.633897926,0.631282224,0.155585363
2007-10-05,13969.1,14124.5,13968.8,14066,183543991,0.630698374,0.636922284,0.635355231,0.639076304,0.212684115
2007-10-08,14065.4,14068,14009.7,14043.7,116417919,0.638881548,0.632069062,0.638820566,0.637180906,0.117442501
2007-10-09,14043.7,14167,14034.4,14164.5,176735263,0.637037572,0.640572938,0.640913323,0.647448353,0.203023572
2007-10-10,14165,14165,14009.5,14078.7,163281603,0.647345142,0.640401142,0.638803621,0.640155746,0.18393489
2007-10-11,14079.1,14198.1,13950.2,14015.1,235090756,0.640045717,0.643244358,0.633779308,0.634750037,0.285821078
